Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"TurboForex, Turbo Enterprises LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,turboforex.com,01.02.2021
Trust FX,Признаки нелегального профессионального участника рынка ценных бумаг,,,"trustfx.io, trustfx.cc, trust-fx.com",01.02.2021
SIRIUSFN,Признаки нелегального профессионального участника рынка ценных бумаг,,,siriusfn.com,01.02.2021
AVA Trade Ltd (AvaTrade),Признаки нелегального профессионального участника рынка ценных бумаг,,"PO Box 3483 Euro American Trust Building VG1110 Road Town, Virgin Islands","avatrade.ru, avatrade.com",01.02.2021
FINWAYPRO Ltd.,Признаки нелегального профессионального участника рынка ценных бумаг,,,finwaypro.com,01.02.2021
IOS Investments Limited (Investous),Признаки нелегального профессионального участника рынка ценных бумаг,,"№ 5 Cork Street, Belize City, Belize",investous.com,01.02.2021
"FIN BOUTIQUE LLC EOOD, FinanceBoutique, FinBTQ, B.T.Q. Group, Fin Boutique Fx",Признаки нелегального профессионального участника рынка ценных бумаг,,,finbtqfx.net,01.02.2021
AXEFOREX Inc,Признаки нелегального профессионального участника рынка ценных бумаг,,,axeforex.com,01.02.2021
FOREX TRADING,Признаки нелегального профессионального участника рынка ценных бумаг,,,forex-trading.pro ,01.02.2021
"Liberty Solutions LTD, Barcleyes",Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of Marshall Islands, MH96960",barcleyes.co.uk,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАДЪ ФИНАНС""",Признаки нелегального кредитора,2465192531,"660131, Красноярский край, г. Красноярск, ул. Ястынская, д. 1Г, пом. 2, каб. 12",,01.02.2021
Grandeur Bitcoin Project,Признаки нелегального профессионального участника рынка ценных бумаг,,,grbit.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕНЬГИ БУДУТ""",Признаки нелегального кредитора,7814168326,"197342, г. Санкт-Петербург, ул. Белоостровская, д. 20, лит. Б, пом. 24-Н, оф. 65Д",dengibudut.com,01.02.2021
"BTCBIT TRADE, Умные Инвестиции",Признаки нелегального профессионального участника рынка ценных бумаг,,,btcbit-trade.net,01.02.2021
Unistell,Признаки нелегального профессионального участника рынка ценных бумаг,,,unistell-fx.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕСП АВТОЛИЗИНГ""",Признаки нелегального кредитора,7842103909,"192236, г. Санкт-Петербург, ул. Софийская, д.6, корп.8, стр.1, пом.1-Н, офис 192","espzalog.ru, esp-leasing.ru",01.02.2021
"Europe-Markets, EU PAY LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,europe-markets.com,01.06.2021
RickGlobal,Признаки нелегального профессионального участника рынка ценных бумаг,,,rickglobal.com,01.06.2021
"Income Inc. Ltd., Income Stock Exchange",Признаки нелегального профессионального участника рынка ценных бумаг,,,incomestockexchange.com,01.02.2021
WellMax,Признаки финансовой пирамиды,,,"wmglc.com, goodlifeconsultingltd.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРАЗИЙСКОЕ ФИНАНСОВОЕ ОБЪЕДИНЕНИЕ"" (WellMax)",Признаки финансовой пирамиды,7801282960,"191119, г. Санкт-Петербург, ул. Звениг.ская, д. 22 литера А офис 051","ifcelite.ru, oooefo.ru, well-partners.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮМЬЕР"" (WellMax)",Признаки финансовой пирамиды,7703679244,"125009, г. Москва, ул. Тверская, д. 16, стр. 1 ком. № 6 ",eafс.ru,01.02.2021
BIG-KUSH,Признаки финансовой пирамиды,,,big-kush.ru,01.02.2021
"FUTURE MEDIA TECH, Crypto CX",Признаки нелегального профессионального участника рынка ценных бумаг,,,cryptocx.net,01.02.2021
PRIME MARSHALL CY LTD (Crypto CX),Признаки нелегального профессионального участника рынка ценных бумаг,,"Arion Gardens. Flat № 5, Lasithiou 7080, Cyprus",cryptocx.net,01.02.2021
"SVENSKA NET LP, CryptoCX",Признаки нелегального профессионального участника рынка ценных бумаг,,,cryptocx.net,01.02.2021
Dream Equity Limited (Investing Capital),Признаки нелегального профессионального участника рынка ценных бумаг,,"1000 Sofia City, Sofia District (Metropolis), Metropolitan Municipality, Vuzrazhdane Region, 147 Knyaz Boris I Str. app.12",investingcapital.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАРТ ЭЙС""",Признаки финансовой пирамиды,1435343157,"677000, Республика Саха (Якутия), г. Якутск, ул. Микрорайон 203, д. 26, кв. 249",startace.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КИТОЙ""",Признаки нелегального кредитора,3801146790,"665816, Иркутская обл., г. Ангарск, ул. Норильская (Старица Мкрн), д. 45",,01.02.2021
Cryptobase inc,Признаки нелегального профессионального участника рынка ценных бумаг,,,cryptobase.ltd,01.02.2021
"SETLSITY, Vector",Признаки финансовой пирамиды,,,"vector-si.net, setlsity.com, cash2.ru, kassa-ip.ru",01.02.2021
TAX E PTY Ltd.,Признаки нелегального профессионального участника рынка ценных бумаг,,,taxe.io,01.02.2021
"Магазин ""Ярославский кредит-17""",Признаки нелегального кредитора,,"150052, Ярославская обл., г. Ярославль, Ленинградский проспект, 49;150052, Ярославская обл., г. Ярославль, Ленинградский, д. 65А (ТЦ «Звездный»)",,01.02.2021
INEXPOINT LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,inexpoint.com,01.06.2021
UXOOL LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,uxool.com,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""МЕРКУРИЙ-КС""",Признаки нелегального кредитора,7706469527,"119049, г. Москва, ул. Шаболовка, д. 2, пом. II","московский-кредитный-союз.москва, кредитный-союз.москва",01.02.2021
"ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ""НАРОДНЫЙ ИНВЕСТОР"" (Народный кредит)",Признаки нелегального кредитора,7708674105,"129164, г. Москва, ул. Ярославская, д. 8, корп. 4, эт. 4, оф. 421","беспроцентный-кредит.рф, народный кредит.москва, кредитный-союз.москва",01.02.2021
Комиссионный магазин Сурский,Признаки нелегального кредитора,,"440013, Пензенская обл., г. Пенза, ул. Клары Цеткин, д. 55;440018, Пензенская обл., г. Пенза, ул. Суворова, д. 168;440034, Пензенская обл., г. Пенза, ул. Калинина, д. 107",,01.02.2021
Fix-Trade,Признаки нелегального профессионального участника рынка ценных бумаг,,,fix-trade.com,01.02.2021
ЛОМБАРД MONT-DE-PIETE ,Признаки нелегального кредитора,,"241019, Брянская обл., г. Брянск, ул. Красноармейская, д. 146;241035, Брянская обл., г. Брянск, ул. 3 Интернационала, 29;241001, Брянская обл., г. Брянск, ул. Авиационная, 28;241050, Брянская обл., г. Брянск, ул. Емлютина, 42",vk.com/club139318551,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АЗИЯ ФИНАНС ГРУПП""",Признаки нелегального кредитора,0326508752,"670000, Республика Бурятия, г.Улан-Удэ, ул.Воровского, дом 50, офис 4",,01.02.2021
"""BORSA TRADE"" LLP",Признаки нелегального профессионального участника рынка ценных бумаг,,3RD FLOOR 86-90 PAUL STREET EC2A 4NE LONDON,borsa-trade.com,01.02.2021
B2B jewelry,Признаки финансовой пирамиды,,,b2b.jewelry,01.02.2021
"PROMOTION CORP SOLUTIONS LIMITED, Decokorp",Признаки нелегального профессионального участника рынка ценных бумаг,,,dekocorp.com,01.06.2021
Multitradecapital,Признаки нелегального профессионального участника рынка ценных бумаг,,,multitradecapital.com,01.02.2021
FX-BASE,Признаки нелегального профессионального участника рынка ценных бумаг,,,fx-base.com,01.02.2021
"Icapital, WANT",Признаки нелегального профессионального участника рынка ценных бумаг,,,"i-want.trade/ru, i-want.trade.broker",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕЛЛОС+""",Признаки нелегального кредитора,1657080300,"420124, Республика Татарстан, г. Казань, ул. Фатыха Амирхана, 17, 3",,01.02.2021
"ALGOITTRADE LTD, AFT Capitals, Algo FX Trade",Признаки нелегального профессионального участника рынка ценных бумаг,,,"aftcapitals.com, algofxtrade.com",01.02.2021
Golden Hill Corporate Sp. z o.o. (Golden Hill Capital),Признаки нелегального профессионального участника рынка ценных бумаг,,"Lublin, Poland",goldenhillcapital.com,01.02.2021
Комиссионный магазин Альтернативная точка,Признаки нелегального кредитора,,"674673, Забайкальский край, г. Краснокаменск, пр. Шахтеров, 3а",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПАРТА""",Признаки нелегального кредитора,5501237641,"644041, Омская обл., г. Омск, ул. Харьковская, д. 19, кв. 15",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗБУКА ДЕНЕГ"" (Global Vector, Ломбард Сочи, Автоломбард)",Признаки нелегального кредитора,2317076884,"354340, Краснодарский край, г. Сочи, ул. Старонасыпная, д. 22, оф. 710",lombard-sochi.com,01.02.2021
Комиссионный магазин Удача,Признаки нелегального кредитора,,"295026,  Республика Крым, г. Симферополь, ул. Киевская, д. 98;295026,  Республика Крым, г. Симферополь, ул. Гагарина, д. 16;295011,  Республика Крым, г. Симферополь, пр-т Кирова, д. 14;295022,  Республика Крым, г. Симферополь, пр-т Победы, д. 209/Б;297546,  Республика Крым, г. Симферополь, пр-т Октябрьской революции, д. 43",vk.com/udachalom,01.02.2021
Комиссионный магазин Деньги сразу,Признаки нелегального кредитора,,"652870, Кемеровская обл.-Кузбасс, г. Междуреченск, проспект Строителей, д. 33",,01.02.2021
"Компания Инвест-залог, ОБК-Инвестиции, Центр займов Тургеневский",Признаки нелегального кредитора,,"350002, Краснодарский край, г. Краснодар, ул. Леваневского, д. 174, офис 208;350010, Краснодарский край, г. Краснодар, ул. Зиповская, д. 5, офис 217;350015, Краснодарский край, г. Краснодар, ул. Северная, 327, 3 этаж, офис 8,9 ","zalog-krd.ru, bank-krd.ru, zaim-krd.ru",01.02.2021
"Кредит под залог в Краснодаре, ZajmKrd",Признаки нелегального кредитора,,,"kredit-pod-zalog-krasnodar.ru, zaim-pod-zalog-krasnodar.ru",01.02.2021
Topglobalco,Признаки нелегального профессионального участника рынка ценных бумаг,,,topglobalco.com,01.02.2021
ЗаймНаДом,Признаки нелегального кредитора,,,zaimnadom.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАУЭР ЛАЙН"" (CASHLINE)",Признаки финансовой пирамиды,2540111608,"690091, Приморский край, г. Владивосток, ул. Светланская, д. 23, оф. 8",cashline.me,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛИЗИНГОВАЯ КОМПАНИЯ ""ФОРУМ""",Признаки финансовой пирамиды,6165200965,"344038, Ростовская обл., г. Ростов-на-Дону, проспект Михаила Нагибина, д. 14А, офис 619","лкфорум.рф, инвестирование.лкфорум.рф",01.02.2021
Cryptobull,Признаки нелегального профессионального участника рынка ценных бумаг,,,"crypto-bull.io, crypto-bull.cc",01.02.2021
DREAM TEAM,Признаки финансовой пирамиды,,,dr-tm.com,01.02.2021
BeCrypted,Признаки финансовой пирамиды,,,b-crypted.com,01.02.2021
trademaster.fm,Признаки нелегального профессионального участника рынка ценных бумаг,,,trademaster.fm,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЯТОЕ КОЛЕСО""",Признаки нелегального кредитора,7726555894,"113405, г. Москва, шоссе Варшавское, 170",v-koleso.ru,01.02.2021
"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕКО-ИНВЕСТ""",Признаки нелегального профессионального участника рынка ценных бумаг,7729017478,"105082, г. Москва, ул. Почтовая Б, д. 36, стр. 9, оф. 236",rekoi.ru,01.02.2021
exGlobal,Признаки нелегального профессионального участника рынка ценных бумаг,,,exglobal.pro,01.02.2021
EXCHANG-BUSINESS,Признаки финансовой пирамиды,,,exchange-business.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КРЕДИТНЫЙ ЦЕНТР МИР ФИНАНСОВ""",Признаки финансовой пирамиды,7602113011,"105066, г. Москва, ул. Нижняя Красносельская, д. 35, стр. 9, цокольный эт., комн. 6",mirfinansov-cc.ru,01.02.2021
TRADE AM LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,theam.pro,01.02.2021
"TLC Consulting Ltd, Aspen Hоlding",Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of Marshall Islands, MH96960","aspenholding.com, aspen-holding.com, aspenholding.co",01.02.2021
"FUSION AGENCY SPAIN SL., 100Investing",Признаки финансовой пирамиды,,,100investing.com,01.02.2021
Ломбард Триумф,Признаки нелегального кредитора,,"644020, Омская область, г. Омск, ул. Лобкова, д. 4;644027, Омская область, г. Омск, пр. Космический, д. 18;644041, Омская область, г. Омск, ул. Кирова, д. 47а;644070, Омская область, г. Омск, ул. 70 лет Октября, д. 10;644081, Омская область, г. Омск, ул. Фугенфирова, д. 9а;644090, Омская область, г. Омск, ул. Заозерная, д. 11",,01.06.2021
ROXEV LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,roxev.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРЭКШН ГРУПП""",Признаки финансовой пирамиды,1431013824,"678000, Республика Саха (Якутия), Хангальский улус , г. Покровск, ул. Заводская, д. 7, кв. 7","vk.com/public185650765, instagram.com/interaction.gr",01.02.2021
"KeyOnCapital Limited, KeyOnCapital Holding Limited, KeyOnCapital UK Limited, KeyOnCapital Financial Services Limited, KeyOnCapital Global Markets Mena",Признаки нелегального профессионального участника рынка ценных бумаг,,,keyoncapital.com,01.02.2021
LODOX-GLOBAL LTD,Признаки финансовой пирамиды,,,lodox-global.com,01.02.2021
Blue Capital Markets Limited (ЕasyMarkets),Признаки нелегального профессионального участника рынка ценных бумаг,,"Panayides Building, flat № 3, floor № 2, Griva Digeni, 3030 Limassol, Cyprus","easymarkets.com, easy-forex.com",01.02.2021
Easy Forex Trading Limited (ЕasyMarkets),Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of Marshall Islands, MH96960",easy-forex.com,01.02.2021
Easymarkets PTY Ltd (ЕasyMarkets),Признаки нелегального профессионального участника рынка ценных бумаг,,"SE 703 L 7, 65 York ST, 3006 Sydney, Australia",easymarkets.com.au,01.02.2021
"Fenix Global Investors Company Limited, Fenix24",Признаки финансовой пирамиды,,,fenix24.net,01.02.2021
Olimp Consulting,Признаки финансовой пирамиды,,,"olimp.consulting, 	quineex.com",01.02.2021
Quineex Markets Ltd,Признаки финансовой пирамиды,,,quineex.com,01.02.2021
fortfs,Признаки нелегального профессионального участника рынка ценных бумаг,,,fortfs.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОИНВЕСТ""",Признаки нелегального кредитора,7751046594,"108808, г. Москва, Первомайское поселение, пос. первомайское, ул. Центральная, д. 30, пом. 2",car-zaym.ru,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ СТРОИТЕЛЬНЫХ НОВАЦИЙ ""СОЦИАЛЬНЫЙ КАПИТАЛ""",Признаки финансовой пирамиды,7604358641,"150054, Ярославская обл., г. Ярославль, пр-т Ленина, д. 50, пом. 2",,01.02.2021
Horizons LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,"marketssoft.com, marketssoft.net",01.02.2021
"Торги на диване, Терминал, Американская мечта",Признаки финансовой пирамиды,,"354002, Краснодарский край, г. Сочи, ул. Молодогвардейская, 2/6;354008, Краснодарский край, г. Сочи, ул. Виноградная, дом 129, пом. 24",vk.com/torgi_na_divane?from=quick_search,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГИ НА ДИВАНЕ""",Признаки финансовой пирамиды,2320253565,"354000, Краснодарский край, г. Сочи, ул. Кубанская, д. 15, офис 0803",vk.com/torgi_na_divane?from=quick_search,01.02.2021
"Family Finance Centre Group LTD, FFCG, FamilyTrade, FamilyBank",Признаки нелегального профессионального участника рынка ценных бумаг,,,"ffcinvest.com, familytrade.clu",01.02.2021
"hycm, Henyep group, Henyep Capital Markets group",Признаки нелегального профессионального участника рынка ценных бумаг,,,hycm.com,01.02.2021
"Financika, Sharp Trading Ltd, Bforex",Признаки нелегального профессионального участника рынка ценных бумаг,,,"ru.financikatrade.com, ru.bforex.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР"" (Автоломбард Автозайм, Кутузовский, Автоломбард Столица, Резерв)",Признаки нелегального кредитора,7730710197,"121108, г. Москва, ул. Ивана Франко, д. 10, пом. 2","avtozaym-moskva.ru, stolica77.ru, avtolombard88.ru, kutuzovskiy88.ru, avtolombard88.ru, rezerv-money.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БФА""",Признаки финансовой пирамиды,7702422447,"107031, г. Москва, ул. Рождественка, д. 5/7, стр. 2, пом. V, ком. 18Г","investopenbest.ru, bfainvest.group",01.02.2021
XNT LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,"Portomaso Business Tower, Level 7, St. Julian`s, PTM01, Malta","exante.eu, ext.com.cy, belarta.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИОРИТЕТ7"" (Автоломбард Мой, Автоломбард Приоритет)",Признаки нелегального кредитора,7719803338,"105523, г. Москва, ул. Парковая 15-я, д. 46, корп. 2, кв. 36","myavtolombard.ru, gosvykupavto.ru",01.02.2021
"Royal Invest AS, Royal Invest Group LTD, Royal Invest",Признаки финансовой пирамиды,,,royalinvestgroup.biz,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕПОСТЬ"" (Fortress)",Признаки финансовой пирамиды,2308219656,"350089, Краснодарский край, г. Краснодар, бульвар им. Клары Лучко, д. 14 корп. 1 офис 505",youinvestnow.com,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ВЗАИМНОГО ОБЕСПЕЧЕНИЯ ""ИНВЕСТ РЯЗАНЬ""",Признаки финансовой пирамиды,6234185012,"390006, Рязанская обл., г. Рязань, ул. Грибоедова, д. 20, эт. 1, пом. Н9, комн. 1",,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РЕАЛИЗАЦИИ ЦЕЛЕВЫХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""ПОБЕДА""",Признаки финансовой пирамиды,7328102750,"432072, Ульяновская обл., г. Ульяновск, проезд Инженерный 1-й, д. 13 пом. 37","победапк.рф, pobeda-pk.ru",01.02.2021
"НАЦИОНАЛЬНЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ВАШ ЗОЛОТОЙ РЕЗЕРВЪ""",Признаки финансовой пирамиды,4632258322,"305000, Курская обл., г. Курск, пл. Красная, д. 2/4 пом. XI, офис 123",zoloto-rezerv.ru,01.02.2021
"UAB Aiguva, Aigua, CDLCONLINE24",Признаки финансовой пирамиды,,,cdlconline24.com,01.02.2021
"Options24/7, Namelina Limited ",Признаки нелегального профессионального участника рынка ценных бумаг,,,options247.net,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНЛАЙН-ЛИЗИНГ""",Признаки нелегального кредитора,4824093360,"398058, Липецкая обл., г. Липецк, ул. П.А. Папина, д. 3Б, оф. 106",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНЛАЙН-ЛИЗИНГ""",Признаки нелегального кредитора,3702182188,"153012, Ивановская обл., г. Иваново, Шереметевский проспект, дом 50, этаж 2 пом. 6",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНЛАЙН-СЫКТЫВКАР""",Признаки нелегального кредитора,1101159920,"167982, Республика Коми, г. Сыктывкар, ул. Куратова, дом 50, пом. 19",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛИЗИНГОВАЯ КОМПАНИЯ ""ФИНЛАЙН-МОСКВА""",Признаки нелегального кредитора,7725493807,"115280, г. Москва, ул. Ленинская Слобода, д. 19, эт. 1, ком. 41х1д, оф. 98",,01.02.2021
getprofit.trade,Признаки нелегального профессионального участника рынка ценных бумаг,,,getprofit.trade,01.02.2021
New Millennium Centre Ltd,Признаки финансовой пирамиды,,,newmillenniumcentre.com,01.02.2021
S&P100,Признаки нелегального профессионального участника рынка ценных бумаг,,,snp100.com,01.02.2021
"Black Parrot Ltd, Blonde Bear OU",Признаки нелегального профессионального участника рынка ценных бумаг,,,"trade111.com, tradesprime.com, crypto77.com, lp.poketrading.com",01.02.2021
"Market Solutions Ltd, Tradeallcrypto, Tradeallcripto",Признаки нелегального профессионального участника рынка ценных бумаг,,,"tradeallcrypto.com, tradeallcripto.com",01.02.2021
Royal Bitex,Признаки нелегального профессионального участника рынка ценных бумаг,,,royal-bitex.com,01.02.2021
Пчелиная Пасека,Признаки финансовой пирамиды,,,bee-apiary.com,01.02.2021
BE TRANDE ,Признаки финансовой пирамиды,,,"be-trande.com, trading.de-trande.com ",01.02.2021
Prime Capital,Признаки нелегального профессионального участника рынка ценных бумаг,,,prime-capital.com,01.02.2021
UNIQmarket,Признаки нелегального профессионального участника рынка ценных бумаг,,,uniqmarket.com,01.02.2021
Skystarcoin,Признаки финансовой пирамиды,,,skystarcoin.net,01.02.2021
LED Capital,Признаки нелегального профессионального участника рынка ценных бумаг,,,led-capital.com,01.02.2021
"Frontier Markets Ltd., Наш Фонд",Признаки нелегального профессионального участника рынка ценных бумаг,,,fondru.com,01.02.2021
"AXE CAPITAL Ltd., AXE CAPITAL",Признаки нелегального профессионального участника рынка ценных бумаг,,,axecapital.systems,01.02.2021
"Forex IM Limited, Forex IM Global Limited, Forex IM Holding Limited, Forex IM UK Limited, Forex IM Global Markets Limited, Forex IM Global Markets MEHA Limited, Forex IM Financial Services Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,forex-im.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТ""",Признаки нелегального кредитора,5503180817,"644013, Омская обл., г. Омск, ул. Сибмисовская, дом 9, литер АВ, офис 9П","finline55.ru, омскбизнес.рф",01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ФИНАНСОВЫЕ ЛИНИИ"" ",Признаки финансовой пирамиды,5503182155,"644099, Омская обл., г. Омск, ул. Орджоникидзе, дом 14, пом. 4П","финансовые-линии.рф, finline-invest.com",01.02.2021
FXGEN LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,fx-gen.com,01.02.2021
"LCG Capital Markets Limited, LCG GROUP",Признаки нелегального профессионального участника рынка ценных бумаг,,,lcg.com,01.02.2021
"LCG Int Limited, LCG GROUP",Признаки нелегального профессионального участника рынка ценных бумаг,,,lcg.com,01.02.2021
"London Capital Group (Cyprus) Limited, LCG GROUP",Признаки нелегального профессионального участника рынка ценных бумаг,,,lcg.com,01.02.2021
"London Capital Group Limited, LCG GROUP",Признаки нелегального профессионального участника рынка ценных бумаг,,,lcg.com,01.02.2021
Trandtrade Ltd,Признаки нелегального профессионального участника рынка ценных бумаг,,,trandtrade.com,01.02.2021
Airon Network LLP,Признаки финансовой пирамиды,,,"ironmatrix.ru, airon.network, airon-matrix.ru, airon-network.ru",01.02.2021
"Future Management Systems, Future Management Systems Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,"futurefx.org, futurefx.broker",01.06.2021
FINIKO,Признаки финансовой пирамиды,,,"finiko.ru, finiko.space, thefiniko.com, finiko.link, zk35.ru, finiko.monster, finiko-kazan.ru",01.02.2021
Mobilife,Признаки нелегального кредитора,,"357112, Ставропольский край, г. Невинномысск, пер. Крымский, д. 2",vk.com/id538490143,01.02.2021
Ломбард,Признаки нелегального кредитора,,"357108, Ставропольский край, г. Невинномысск, ул. Павлова, д. 2/1",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛЧУГ"" ",Признаки нелегального кредитора,7327030655,"432029, Ульяновская обл., г. Ульяновск, ул. Самарская, дом 12а, офис 3",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРЕОЛ""",Признаки нелегального кредитора,1657024521,"420066, Республика Татарстан, г. Казань, проспект Ямашева, дом 21, помещение 1100",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРВАРД""",Признаки нелегального кредитора,1203010119,"425060, Республика Марий Эл, Звениговский район, г. Звенигово, ул. Ленина, 50",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ФОРАС""",Признаки нелегального кредитора,5262321970,"603093, Нижегородская обл., г. Нижний Новгород, ул. Яблоневая, дом 1а, помещение 8",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МОНЕТНЫЙ ДВОР НН""",Признаки нелегального кредитора,5251009311,"607130, Нижегородская обл., Ардатовский район, рабочий поселок Ардатов, ул. Гайдара, 9",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ФЕРМЕРСКАЯ ИНИЦИАТИВА""",Признаки нелегального кредитора,7814693149,"197375, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, лит. А, оф.205",farmerfinance.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ДЕНЕЖНЫЕ ЗАЙМЫ НАЛИЧКИНЪ""",Признаки нелегального кредитора,7839026860,"199106, г. Санкт-Петербург, ул. Наличная, д. 5, лит. А, пом. 5-Н",nalichkin.ru,01.02.2021
